"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hey @SpiritAirlines I understand flights get cancelled. But only 1 ticket agent to help passengers rebook flight. Not acceptable",FALSE,0,NA,2017-03-18 23:55:29,FALSE,NA,"843249528966959109",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SoussElvis",1,FALSE,FALSE,NA,NA
"2","Don't fly @SpiritAirlines unless u love delays and being stuck in Atlanta <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>",FALSE,0,NA,2017-03-18 23:50:34,FALSE,NA,"843248292138012672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reddoub",0,FALSE,FALSE,NA,NA
"3","I literally just had the worst experience with @SpiritAirlines and still haven't even left yet ! I've been here 2 days!",FALSE,0,NA,2017-03-18 23:46:09,FALSE,NA,"843247180584538112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kingcouthen_",0,FALSE,FALSE,NA,NA
"4","@SpiritAirlines this was the worst experience I have ever had when it comes to flying waited almost 10 hours for them to cancel our flight",FALSE,0,"SpiritAirlines",2017-03-18 23:45:34,FALSE,NA,"843247033234477056","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tree8",0,FALSE,FALSE,NA,NA
"5","@SpiritAirlines get ur shit together u guys suck https://t.co/CsceQ6NYA9",FALSE,0,"SpiritAirlines",2017-03-18 23:43:37,FALSE,NA,"843246543465562112","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madpawl",0,FALSE,FALSE,NA,NA
"6","That's a muthaphuccin shame. Thank gawd he didn't https://t.co/zmCFvMAMrM the phuccin air! Another reason not to fl… https://t.co/3ANissLnIs",FALSE,0,NA,2017-03-18 23:42:50,TRUE,NA,"843246344751976450",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","TheRealMzMack",0,FALSE,FALSE,NA,NA
"7","@SpiritAirlines shame on you.   You had us come to ewr at noon when you know the flight wouldn't leave til 6.  It's 7:41 and still here",FALSE,0,"SpiritAirlines",2017-03-18 23:42:27,FALSE,NA,"843246252364120064","21964954","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JSGifas",0,FALSE,FALSE,NA,NA
"8","@BrookeAshleyP @SpiritAirlines there's a reason they're the worst airline in the country",FALSE,3,"BrookeAshleyP",2017-03-18 23:41:10,FALSE,"843244500680097792","843245926382755840","1347581802","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JazzyJeff03",0,FALSE,FALSE,NA,NA
"9","@BrookeAshleyP @SpiritAirlines that is just bad customer service that is why We never fly @SpiritAirlines",FALSE,1,"BrookeAshleyP",2017-03-18 23:38:25,FALSE,"843244500680097792","843245234549133317","1347581802","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hookedin10",0,FALSE,FALSE,NA,NA
"10","@BrookeAshleyP @SpiritAirlines wow that is so uncool!  Hope they didn't charge you extra for carry ons!",FALSE,1,"BrookeAshleyP",2017-03-18 23:38:18,FALSE,"843244500680097792","843245204538888192","1347581802","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","XFactor10",0,FALSE,FALSE,NA,NA
"11","@BrookeAshleyP @SpiritAirlines 
StupidAirlines",FALSE,0,"BrookeAshleyP",2017-03-18 23:37:50,FALSE,"843244500680097792","843245088675430400","1347581802","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","696969707070",0,FALSE,FALSE,NA,NA
